first_well	second_well	pearsons_coef	first_construct	second_construct	concentration	comparison
B6	D10	0.45244952492559665	NF1 Target 2	Scramble	0.005	different_construct
B6	D4	0.31122554449915685	NF1 Target 2	Scramble	0.005	different_construct
B6	D7	0.6378279477715755	NF1 Target 2	Scramble	0.005	different_construct
B7	D3	0.46076297239042896	NF1 Target 2	Scramble	0.05	different_construct
B7	D6	0.30417440094835263	NF1 Target 2	Scramble	0.05	different_construct
B7	D9	0.43470819754712475	NF1 Target 2	Scramble	0.05	different_construct
B9	D3	0.47176299467798316	NF1 Target 2	Scramble	0.05	different_construct
B9	D6	0.25792132376934845	NF1 Target 2	Scramble	0.05	different_construct
B9	D9	0.37999057289962684	NF1 Target 2	Scramble	0.05	different_construct
D10	B10	0.4061792572595312	NF1 Target 2	Scramble	0.005	different_construct
D10	B4	0.41658702011617477	NF1 Target 2	Scramble	0.005	different_construct
D10	B6	0.45244952492559665	NF1 Target 2	Scramble	0.005	different_construct
D3	B3	0.5981162954225878	NF1 Target 2	Scramble	0.05	different_construct
D3	B7	0.46076297239042896	NF1 Target 2	Scramble	0.05	different_construct
D3	B9	0.47176299467798316	NF1 Target 2	Scramble	0.05	different_construct
D4	B10	0.28207585964983733	NF1 Target 2	Scramble	0.005	different_construct
D4	B4	0.48742261392956593	NF1 Target 2	Scramble	0.005	different_construct
D4	B6	0.31122554449915685	NF1 Target 2	Scramble	0.005	different_construct
D6	B3	0.3149703364307903	NF1 Target 2	Scramble	0.05	different_construct
D6	B7	0.30417440094835263	NF1 Target 2	Scramble	0.05	different_construct
D6	B9	0.25792132376934845	NF1 Target 2	Scramble	0.05	different_construct
D7	B10	0.3493593096919094	NF1 Target 2	Scramble	0.005	different_construct
D7	B4	0.34846802045218883	NF1 Target 2	Scramble	0.005	different_construct
D7	B6	0.6378279477715755	NF1 Target 2	Scramble	0.005	different_construct
D9	B3	0.4816308385138615	NF1 Target 2	Scramble	0.05	different_construct
D9	B7	0.43470819754712475	NF1 Target 2	Scramble	0.05	different_construct
D9	B9	0.37999057289962684	NF1 Target 2	Scramble	0.05	different_construct
E10	G10	-0.197009514801936	NF1 Target 2	Scramble	0.001	different_construct
E10	G4	-0.008267929840336146	NF1 Target 2	Scramble	0.001	different_construct
E10	G7	0.09499259851640741	NF1 Target 2	Scramble	0.001	different_construct
E2	G2	0.13732537472290546	NF1 Target 2	Scramble	0.1	different_construct
E2	G5	0.2607406761264857	NF1 Target 2	Scramble	0.1	different_construct
E2	G8	0.09278700985230869	NF1 Target 2	Scramble	0.1	different_construct
E3	G3	-0.13323608263499703	NF1 Target 2	Scramble	0.01	different_construct
E3	G6	-0.08401292228695646	NF1 Target 2	Scramble	0.01	different_construct
E3	G9	-0.378640744672151	NF1 Target 2	Scramble	0.01	different_construct
E4	G10	-0.12524815902996153	NF1 Target 2	Scramble	0.001	different_construct
E4	G4	0.14971810274863875	NF1 Target 2	Scramble	0.001	different_construct
E4	G7	0.26658233915972346	NF1 Target 2	Scramble	0.001	different_construct
E5	G2	-0.16645956048834584	NF1 Target 2	Scramble	0.1	different_construct
E5	G5	0.10084783071690824	NF1 Target 2	Scramble	0.1	different_construct
E5	G8	-0.2511377062800299	NF1 Target 2	Scramble	0.1	different_construct
E6	G3	-0.10031304910344874	NF1 Target 2	Scramble	0.01	different_construct
E6	G6	-0.06815947794027558	NF1 Target 2	Scramble	0.01	different_construct
E6	G9	-0.33235443142663107	NF1 Target 2	Scramble	0.01	different_construct
E7	G10	-0.23876462568879026	NF1 Target 2	Scramble	0.001	different_construct
E7	G4	0.024203950775195444	NF1 Target 2	Scramble	0.001	different_construct
E7	G7	0.1058689078242958	NF1 Target 2	Scramble	0.001	different_construct
E8	G2	-0.1638938621242264	NF1 Target 2	Scramble	0.1	different_construct
E8	G5	-0.021324311059941262	NF1 Target 2	Scramble	0.1	different_construct
E8	G8	-0.27397090817072894	NF1 Target 2	Scramble	0.1	different_construct
E9	G3	-0.20044158397479275	NF1 Target 2	Scramble	0.01	different_construct
E9	G6	-0.15671945847624022	NF1 Target 2	Scramble	0.01	different_construct
E9	G9	-0.4645683702219563	NF1 Target 2	Scramble	0.01	different_construct
G10	E10	-0.197009514801936	NF1 Target 2	Scramble	0.001	different_construct
G10	E4	-0.12524815902996153	NF1 Target 2	Scramble	0.001	different_construct
G10	E7	-0.23876462568879026	NF1 Target 2	Scramble	0.001	different_construct
G2	E2	0.13732537472290546	NF1 Target 2	Scramble	0.1	different_construct
G2	E5	-0.16645956048834584	NF1 Target 2	Scramble	0.1	different_construct
G2	E8	-0.1638938621242264	NF1 Target 2	Scramble	0.1	different_construct
G3	E3	-0.13323608263499703	NF1 Target 2	Scramble	0.01	different_construct
G3	E6	-0.10031304910344874	NF1 Target 2	Scramble	0.01	different_construct
G3	E9	-0.20044158397479275	NF1 Target 2	Scramble	0.01	different_construct
G4	E10	-0.008267929840336146	NF1 Target 2	Scramble	0.001	different_construct
G4	E4	0.14971810274863875	NF1 Target 2	Scramble	0.001	different_construct
G4	E7	0.024203950775195444	NF1 Target 2	Scramble	0.001	different_construct
G5	E2	0.2607406761264857	NF1 Target 2	Scramble	0.1	different_construct
G5	E5	0.10084783071690824	NF1 Target 2	Scramble	0.1	different_construct
G5	E8	-0.021324311059941262	NF1 Target 2	Scramble	0.1	different_construct
G6	E3	-0.08401292228695646	NF1 Target 2	Scramble	0.01	different_construct
G6	E6	-0.06815947794027558	NF1 Target 2	Scramble	0.01	different_construct
G6	E9	-0.15671945847624022	NF1 Target 2	Scramble	0.01	different_construct
G7	E10	0.09499259851640741	NF1 Target 2	Scramble	0.001	different_construct
G7	E4	0.26658233915972346	NF1 Target 2	Scramble	0.001	different_construct
G7	E7	0.1058689078242958	NF1 Target 2	Scramble	0.001	different_construct
G8	E2	0.09278700985230869	NF1 Target 2	Scramble	0.1	different_construct
G8	E5	-0.2511377062800299	NF1 Target 2	Scramble	0.1	different_construct
G8	E8	-0.27397090817072894	NF1 Target 2	Scramble	0.1	different_construct
G9	E3	-0.378640744672151	NF1 Target 2	Scramble	0.01	different_construct
G9	E6	-0.33235443142663107	NF1 Target 2	Scramble	0.01	different_construct
G9	E9	-0.4645683702219563	NF1 Target 2	Scramble	0.01	different_construct
B10	B11	0.44334151278631284	Scramble	no_treatment	0.005	different_construct
B10	B2	0.2028359284417693	Scramble	no_treatment	0.005	different_construct
B10	B5	0.32980070943828493	Scramble	no_treatment	0.005	different_construct
B10	B8	0.4713109707672541	Scramble	no_treatment	0.005	different_construct
B10	C11	0.4530842067743159	Scramble	no_treatment	0.005	different_construct
B10	C2	0.2953048398252465	Scramble	no_treatment	0.005	different_construct
B10	C5	0.2289214045335475	Scramble	no_treatment	0.005	different_construct
B10	C8	0.37343783300437905	Scramble	no_treatment	0.005	different_construct
B10	D11	0.41551746533549017	Scramble	no_treatment	0.005	different_construct
B10	D2	0.43534231295289605	Scramble	no_treatment	0.005	different_construct
B10	D5	0.40203347383831006	Scramble	no_treatment	0.005	different_construct
B10	D8	0.4242257111703403	Scramble	no_treatment	0.005	different_construct
B10	E11	0.31943143073235514	Scramble	no_treatment	0.005	different_construct
B10	F11	0.3312590013557941	Scramble	no_treatment	0.005	different_construct
B10	G11	0.36021510830118686	Scramble	no_treatment	0.005	different_construct
B3	B11	0.566299710444869	Scramble	no_treatment	0.05	different_construct
B3	B2	0.5185086314713852	Scramble	no_treatment	0.05	different_construct
B3	B5	0.47473918047920965	Scramble	no_treatment	0.05	different_construct
B3	B8	0.6415364315698936	Scramble	no_treatment	0.05	different_construct
B3	C11	0.4579705046553694	Scramble	no_treatment	0.05	different_construct
B3	C2	0.40965207056889535	Scramble	no_treatment	0.05	different_construct
B3	C5	0.17768542196955447	Scramble	no_treatment	0.05	different_construct
B3	C8	0.3175790574450978	Scramble	no_treatment	0.05	different_construct
B3	D11	0.5199426145980593	Scramble	no_treatment	0.05	different_construct
B3	D2	0.4794078731269411	Scramble	no_treatment	0.05	different_construct
B3	D5	0.3185932477622867	Scramble	no_treatment	0.05	different_construct
B3	D8	0.3958726491345546	Scramble	no_treatment	0.05	different_construct
B3	E11	0.4783464333196603	Scramble	no_treatment	0.05	different_construct
B3	F11	0.40787026153035316	Scramble	no_treatment	0.05	different_construct
B3	G11	0.38630655463353597	Scramble	no_treatment	0.05	different_construct
B4	B11	0.46591803563910655	Scramble	no_treatment	0.005	different_construct
B4	B2	0.4619765307316902	Scramble	no_treatment	0.005	different_construct
B4	B5	0.45749766679821263	Scramble	no_treatment	0.005	different_construct
B4	B8	0.5472060052427676	Scramble	no_treatment	0.005	different_construct
B4	C11	0.31981654254557074	Scramble	no_treatment	0.005	different_construct
B4	C2	0.3301133144665771	Scramble	no_treatment	0.005	different_construct
B4	C5	0.10468875218002278	Scramble	no_treatment	0.005	different_construct
B4	C8	0.3142744391429695	Scramble	no_treatment	0.005	different_construct
B4	D11	0.28436668229417184	Scramble	no_treatment	0.005	different_construct
B4	D2	0.3426297856645335	Scramble	no_treatment	0.005	different_construct
B4	D5	0.33039348289415393	Scramble	no_treatment	0.005	different_construct
B4	D8	0.3822076567992584	Scramble	no_treatment	0.005	different_construct
B4	E11	0.31724211946865616	Scramble	no_treatment	0.005	different_construct
B4	F11	0.33525557146450796	Scramble	no_treatment	0.005	different_construct
B4	G11	0.30291212423191977	Scramble	no_treatment	0.005	different_construct
B6	B11	0.37932146915492004	Scramble	no_treatment	0.005	different_construct
B6	B2	0.06418724971061358	Scramble	no_treatment	0.005	different_construct
B6	B5	0.41155747632334233	Scramble	no_treatment	0.005	different_construct
B6	B8	0.1539124984309123	Scramble	no_treatment	0.005	different_construct
B6	C11	0.5663131669356147	Scramble	no_treatment	0.005	different_construct
B6	C2	-0.003603264251617085	Scramble	no_treatment	0.005	different_construct
B6	C5	0.5624270505433833	Scramble	no_treatment	0.005	different_construct
B6	C8	0.40684056591042095	Scramble	no_treatment	0.005	different_construct
B6	D11	0.5035873759382273	Scramble	no_treatment	0.005	different_construct
B6	D2	-0.022749320697464985	Scramble	no_treatment	0.005	different_construct
B6	D5	0.29705684947099176	Scramble	no_treatment	0.005	different_construct
B6	D8	0.22915769142024517	Scramble	no_treatment	0.005	different_construct
B6	E11	0.4197518566335566	Scramble	no_treatment	0.005	different_construct
B6	F11	-0.11834657141979474	Scramble	no_treatment	0.005	different_construct
B6	G11	-0.24380188612668563	Scramble	no_treatment	0.005	different_construct
B7	B11	0.5733282306917082	Scramble	no_treatment	0.05	different_construct
B7	B2	0.3558248253389557	Scramble	no_treatment	0.05	different_construct
B7	B5	0.4576270420010549	Scramble	no_treatment	0.05	different_construct
B7	B8	0.6496721372693922	Scramble	no_treatment	0.05	different_construct
B7	C11	0.3408031198428439	Scramble	no_treatment	0.05	different_construct
B7	C2	0.3911910872033093	Scramble	no_treatment	0.05	different_construct
B7	C5	0.21709485580411556	Scramble	no_treatment	0.05	different_construct
B7	C8	0.35619922935265563	Scramble	no_treatment	0.05	different_construct
B7	D11	0.48012724461800405	Scramble	no_treatment	0.05	different_construct
B7	D2	0.44469004759750347	Scramble	no_treatment	0.05	different_construct
B7	D5	0.4857840547898407	Scramble	no_treatment	0.05	different_construct
B7	D8	0.462910232358886	Scramble	no_treatment	0.05	different_construct
B7	E11	0.3490511482183521	Scramble	no_treatment	0.05	different_construct
B7	F11	0.47367115561750334	Scramble	no_treatment	0.05	different_construct
B7	G11	0.43337022638569317	Scramble	no_treatment	0.05	different_construct
B9	B11	0.5855111916280614	Scramble	no_treatment	0.05	different_construct
B9	B2	0.41797352879798483	Scramble	no_treatment	0.05	different_construct
B9	B5	0.4811755914212407	Scramble	no_treatment	0.05	different_construct
B9	B8	0.5948741516017644	Scramble	no_treatment	0.05	different_construct
B9	C11	0.28953299187112386	Scramble	no_treatment	0.05	different_construct
B9	C2	0.480621929646362	Scramble	no_treatment	0.05	different_construct
B9	C5	0.1873189080583312	Scramble	no_treatment	0.05	different_construct
B9	C8	0.34855087291931297	Scramble	no_treatment	0.05	different_construct
B9	D11	0.3987677854877297	Scramble	no_treatment	0.05	different_construct
B9	D2	0.39703828475861913	Scramble	no_treatment	0.05	different_construct
B9	D5	0.3767372914339339	Scramble	no_treatment	0.05	different_construct
B9	D8	0.44512252944135905	Scramble	no_treatment	0.05	different_construct
B9	E11	0.33083067526767634	Scramble	no_treatment	0.05	different_construct
B9	F11	0.490551505560023	Scramble	no_treatment	0.05	different_construct
B9	G11	0.43144839162742044	Scramble	no_treatment	0.05	different_construct
E10	B11	0.39586961630276424	Scramble	no_treatment	0.001	different_construct
E10	B2	0.011314753645403831	Scramble	no_treatment	0.001	different_construct
E10	B5	0.27837293335079083	Scramble	no_treatment	0.001	different_construct
E10	B8	0.20903342301501926	Scramble	no_treatment	0.001	different_construct
E10	C11	0.5691535344474111	Scramble	no_treatment	0.001	different_construct
E10	C2	0.114356920428413	Scramble	no_treatment	0.001	different_construct
E10	C5	0.4942308027029544	Scramble	no_treatment	0.001	different_construct
E10	C8	0.43350898543977073	Scramble	no_treatment	0.001	different_construct
E10	D11	0.48858120711807695	Scramble	no_treatment	0.001	different_construct
E10	D2	0.047008128134711225	Scramble	no_treatment	0.001	different_construct
E10	D5	0.3577842263094641	Scramble	no_treatment	0.001	different_construct
E10	D8	0.26161889612882727	Scramble	no_treatment	0.001	different_construct
E10	E11	0.34382992411599467	Scramble	no_treatment	0.001	different_construct
E10	F11	-0.06507561322498573	Scramble	no_treatment	0.001	different_construct
E10	G11	-0.0740599892496238	Scramble	no_treatment	0.001	different_construct
E2	B11	0.41883248972293646	Scramble	no_treatment	0.1	different_construct
E2	B2	0.0933770757722377	Scramble	no_treatment	0.1	different_construct
E2	B5	0.45206809231902917	Scramble	no_treatment	0.1	different_construct
E2	B8	0.3088797325631712	Scramble	no_treatment	0.1	different_construct
E2	C11	0.577101746590484	Scramble	no_treatment	0.1	different_construct
E2	C2	0.17095167172911616	Scramble	no_treatment	0.1	different_construct
E2	C5	0.4531358141482916	Scramble	no_treatment	0.1	different_construct
E2	C8	0.37727771064150134	Scramble	no_treatment	0.1	different_construct
E2	D11	0.5551590365220146	Scramble	no_treatment	0.1	different_construct
E2	D2	0.07797953590291108	Scramble	no_treatment	0.1	different_construct
E2	D5	0.33436671352133956	Scramble	no_treatment	0.1	different_construct
E2	D8	0.21786913924796078	Scramble	no_treatment	0.1	different_construct
E2	E11	0.46761940877297414	Scramble	no_treatment	0.1	different_construct
E2	F11	0.02638868422333609	Scramble	no_treatment	0.1	different_construct
E2	G11	0.00941853356064786	Scramble	no_treatment	0.1	different_construct
E3	B11	0.41194336134669673	Scramble	no_treatment	0.01	different_construct
E3	B2	-0.0909600255307438	Scramble	no_treatment	0.01	different_construct
E3	B5	0.4732487143336136	Scramble	no_treatment	0.01	different_construct
E3	B8	0.20797859409649447	Scramble	no_treatment	0.01	different_construct
E3	C11	0.5498343614828718	Scramble	no_treatment	0.01	different_construct
E3	C2	0.24775065726310716	Scramble	no_treatment	0.01	different_construct
E3	C5	0.5492202793822311	Scramble	no_treatment	0.01	different_construct
E3	C8	0.5188035445651231	Scramble	no_treatment	0.01	different_construct
E3	D11	0.5669805824961522	Scramble	no_treatment	0.01	different_construct
E3	D2	-0.1913507249885801	Scramble	no_treatment	0.01	different_construct
E3	D5	0.32051128740659407	Scramble	no_treatment	0.01	different_construct
E3	D8	0.20306338784077083	Scramble	no_treatment	0.01	different_construct
E3	E11	0.5286962721108727	Scramble	no_treatment	0.01	different_construct
E3	F11	-0.0895979632800492	Scramble	no_treatment	0.01	different_construct
E3	G11	-0.2625230626581487	Scramble	no_treatment	0.01	different_construct
E4	B11	0.5383875417623123	Scramble	no_treatment	0.001	different_construct
E4	B2	0.15128630291170386	Scramble	no_treatment	0.001	different_construct
E4	B5	0.5428981563320663	Scramble	no_treatment	0.001	different_construct
E4	B8	0.38943143811587866	Scramble	no_treatment	0.001	different_construct
E4	C11	0.5930636735085257	Scramble	no_treatment	0.001	different_construct
E4	C2	0.46251748980682633	Scramble	no_treatment	0.001	different_construct
E4	C5	0.5589091053607244	Scramble	no_treatment	0.001	different_construct
E4	C8	0.557975439809389	Scramble	no_treatment	0.001	different_construct
E4	D11	0.6376638980141017	Scramble	no_treatment	0.001	different_construct
E4	D2	0.0730922093300815	Scramble	no_treatment	0.001	different_construct
E4	D5	0.3774499888421047	Scramble	no_treatment	0.001	different_construct
E4	D8	0.3720037798359051	Scramble	no_treatment	0.001	different_construct
E4	E11	0.6364759189419243	Scramble	no_treatment	0.001	different_construct
E4	F11	0.1933299543083062	Scramble	no_treatment	0.001	different_construct
E4	G11	0.04276167028935725	Scramble	no_treatment	0.001	different_construct
E5	B11	0.4014230373187832	Scramble	no_treatment	0.1	different_construct
E5	B2	-0.19735861808794286	Scramble	no_treatment	0.1	different_construct
E5	B5	0.4726145663743296	Scramble	no_treatment	0.1	different_construct
E5	B8	0.10899552346221449	Scramble	no_treatment	0.1	different_construct
E5	C11	0.6223241010239337	Scramble	no_treatment	0.1	different_construct
E5	C2	0.26154317458231635	Scramble	no_treatment	0.1	different_construct
E5	C5	0.7598437820639612	Scramble	no_treatment	0.1	different_construct
E5	C8	0.6285808250057112	Scramble	no_treatment	0.1	different_construct
E5	D11	0.5834544161737203	Scramble	no_treatment	0.1	different_construct
E5	D2	-0.0029458114301138504	Scramble	no_treatment	0.1	different_construct
E5	D5	0.3713529814375813	Scramble	no_treatment	0.1	different_construct
E5	D8	0.3193086448254179	Scramble	no_treatment	0.1	different_construct
E5	E11	0.5516149624976502	Scramble	no_treatment	0.1	different_construct
E5	F11	0.05200129346045327	Scramble	no_treatment	0.1	different_construct
E5	G11	-0.18019726388374385	Scramble	no_treatment	0.1	different_construct
E6	B11	0.3983208097242209	Scramble	no_treatment	0.01	different_construct
E6	B2	-0.023925613775461364	Scramble	no_treatment	0.01	different_construct
E6	B5	0.48340334024193843	Scramble	no_treatment	0.01	different_construct
E6	B8	0.23070138497708492	Scramble	no_treatment	0.01	different_construct
E6	C11	0.5787438389578312	Scramble	no_treatment	0.01	different_construct
E6	C2	0.19755689976200838	Scramble	no_treatment	0.01	different_construct
E6	C5	0.6178452655843705	Scramble	no_treatment	0.01	different_construct
E6	C8	0.566287113798597	Scramble	no_treatment	0.01	different_construct
E6	D11	0.5176455042003474	Scramble	no_treatment	0.01	different_construct
E6	D2	-0.11283514387072219	Scramble	no_treatment	0.01	different_construct
E6	D5	0.3347073627403509	Scramble	no_treatment	0.01	different_construct
E6	D8	0.25189647660317394	Scramble	no_treatment	0.01	different_construct
E6	E11	0.5580697380528156	Scramble	no_treatment	0.01	different_construct
E6	F11	-0.05583135232993531	Scramble	no_treatment	0.01	different_construct
E6	G11	-0.23039599763430177	Scramble	no_treatment	0.01	different_construct
E7	B11	0.5773261526095735	Scramble	no_treatment	0.001	different_construct
E7	B2	-0.0737307704237074	Scramble	no_treatment	0.001	different_construct
E7	B5	0.588472743211093	Scramble	no_treatment	0.001	different_construct
E7	B8	0.28165655558625563	Scramble	no_treatment	0.001	different_construct
E7	C11	0.6349780993621953	Scramble	no_treatment	0.001	different_construct
E7	C2	0.3174559260933444	Scramble	no_treatment	0.001	different_construct
E7	C5	0.6441263174286361	Scramble	no_treatment	0.001	different_construct
E7	C8	0.5279196184150299	Scramble	no_treatment	0.001	different_construct
E7	D11	0.640634763786395	Scramble	no_treatment	0.001	different_construct
E7	D2	-0.06004526219945814	Scramble	no_treatment	0.001	different_construct
E7	D5	0.42739372201044357	Scramble	no_treatment	0.001	different_construct
E7	D8	0.3516417992301948	Scramble	no_treatment	0.001	different_construct
E7	E11	0.5375264275182885	Scramble	no_treatment	0.001	different_construct
E7	F11	0.043032028569571154	Scramble	no_treatment	0.001	different_construct
E7	G11	-0.08122215022093268	Scramble	no_treatment	0.001	different_construct
E8	B11	0.38426163051859613	Scramble	no_treatment	0.1	different_construct
E8	B2	-0.013572086588360654	Scramble	no_treatment	0.1	different_construct
E8	B5	0.4034569463770907	Scramble	no_treatment	0.1	different_construct
E8	B8	0.1542334509715388	Scramble	no_treatment	0.1	different_construct
E8	C11	0.5629181399098553	Scramble	no_treatment	0.1	different_construct
